,Deposit type,Description,Synonym,Deposit environment,Deposit group,Genetically related features ,label
118,Alkalic epithermal gold ± Ag,"Alkalic epithermal gold ± Ag deposits are also known as Au-Ag-Te veins. They belong to the general deposit group of Epithermal deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Alkalic epithermal gold ± Ag deposits include: Arc or rift, alkaline volcano- plutonic center, magmatic fluid, alkali and hydrolytic metasomatism. ",Au-Ag-Te veins,Magmatic hydrothermal,Epithermal,"Arc or rift, alkaline volcano- plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Alkalic epithermal gold ± Ag
119,Epithermal mercury,Epithermal mercury deposits are also known as Hot spring Hg. They belong to the general deposit group of Epithermal deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Epithermal mercury deposits include: Occurs in more than one system type. ,Hot spring Hg,Magmatic hydrothermal,Epithermal,Occurs in more than one system type,Epithermal mercury
120,Epithermal beryllium,"Epithermal beryllium deposits are also known as Volcanogenic Be. They belong to the general deposit group of Epithermal deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Epithermal beryllium deposits include: Continental rift, hydrous bimodal magmatism, A-type volcano- plutonic center, magmatic fluid, meteoric water. ",Volcanogenic Be,Magmatic hydrothermal,Epithermal,"Continental rift, hydrous bimodal magmatism, A-type volcano- plutonic center, magmatic fluid, meteoric water",Epithermal beryllium
121,Epithermal uranium,"Epithermal uranium deposits are also known as Volcanogenic U, volcanic-related U. They belong to the general deposit group of Epithermal deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Epithermal uranium deposits include: Continental rift, hydrous bimodal magmatism, A-type volcano- plutonic center, magmatic fluid, meteoric water. ","Volcanogenic U, volcanic-related U",Magmatic hydrothermal,Epithermal,"Continental rift, hydrous bimodal magmatism, A-type volcano- plutonic center, magmatic fluid, meteoric water",Epithermal uranium
122,Vein ± replacement nickel,"Vein ± replacement nickel deposits are also known as Avebury-style Ni, ophiolite-hosted Ni, hydrothermal Ni. They belong to the general deposit group of Vein deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Vein ± replacement nickel deposits include: Occurs in more than one system type. ","Avebury-style Ni, ophiolite-hosted Ni, hydrothermal Ni",Magmatic hydrothermal,Vein,Occurs in more than one system type,Vein ± replacement nickel
123,Vein cobalt ± Ni,Vein cobalt ± Ni deposits are also known as Hydrothermal Ni-Co-As. They belong to the general deposit group of Vein deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Vein cobalt ± Ni deposits include: Occurs in more than one system type. ,Hydrothermal Ni-Co-As,Magmatic hydrothermal,Vein,Occurs in more than one system type,Vein cobalt ± Ni
124,Vein copper,Vein copper deposits belong to the general deposit group of Vein deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Vein copper deposits include: Occurs in more than one system type. ,,Magmatic hydrothermal,Vein,Occurs in more than one system type,Vein copper
125,Vein tin,"Vein tin deposits are also known as Cornwall-type. They belong to the general deposit group of Vein deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Vein tin deposits include: Continental back arc or hinterland, S-type volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism. ",Cornwall-type,Magmatic hydrothermal,Vein,"Continental back arc or hinterland, S-type volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Vein tin
126,Vein tungsten,"Vein tungsten deposits belong to the general deposit group of Vein deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Vein tungsten deposits include: Continental back arc or hinterland, S-type volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism. ",,Magmatic hydrothermal,Vein,"Continental back arc or hinterland, S-type volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Vein tungsten
127,Vein tin polymetallic,"Vein tin polymetallic deposits are also known as Bolivian-type. They belong to the general deposit group of Vein deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Vein tin polymetallic deposits include: Continental back arc or hinterland, S-type volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism. ",Bolivian-type,Magmatic hydrothermal,Vein,"Continental back arc or hinterland, S-type volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Vein tin polymetallic
128,Vein fluorite,Vein fluorite deposits are also known as Fluorspar. They belong to the general deposit group of Vein deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Vein fluorite deposits include: Occurs in more than one system type. ,Fluorspar,Magmatic hydrothermal,Vein,Occurs in more than one system type,Vein fluorite
129,Vein polymetallic,Vein polymetallic deposits belong to the general deposit group of Vein deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Vein polymetallic deposits include: Occurs in more than one system type. ,,Magmatic hydrothermal,Vein,Occurs in more than one system type,Vein polymetallic
130,Breccia pipe copper,Breccia pipe copper deposits are also known as Igneous-hydrothermal breccia. They belong to the general deposit group of Breccia pipe deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Breccia pipe copper deposits include: Occurs in more than one system type. ,Igneous-hydrothermal breccia,Magmatic hydrothermal,Breccia pipe,Occurs in more than one system type,Breccia pipe copper
131,Breccia pipe gold,"Breccia pipe gold deposits are also known as Intrusion-related gold. They belong to the general deposit group of Breccia pipe deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Breccia pipe gold deposits include: Continental back arc or hinterland, regional felsic magmatism of ilmenite to magnetite series, magmatic fluid, alkali and hydrolytic metasomatism. ",Intrusion-related gold,Magmatic hydrothermal,Breccia pipe,"Continental back arc or hinterland, regional felsic magmatism of ilmenite to magnetite series, magmatic fluid, alkali and hydrolytic metasomatism",Breccia pipe gold
132,Breccia pipe molybdenum,"Breccia pipe molybdenum deposits belong to the general deposit group of Breccia pipe deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Breccia pipe molybdenum deposits include: Continental rift, hydrous bimodal magmatism, A-type volcano- plutonic center, magmatic fluid. ",,Magmatic hydrothermal,Breccia pipe,"Continental rift, hydrous bimodal magmatism, A-type volcano- plutonic center, magmatic fluid",Breccia pipe molybdenum
133,Breccia pipe REE,"Breccia pipe REE deposits belong to the general deposit group of Breccia pipe deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Breccia pipe REE deposits include: Arc or rift, alkaline volcano- plutonic center, magmatic fluid, alkali and hydrolytic metasomatism. ",,Magmatic hydrothermal,Breccia pipe,"Arc or rift, alkaline volcano- plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Breccia pipe REE
134,Carlin-type gold,"Carlin-type gold deposits are also known as Sediment-hosted disseminated gold, sediment-hosted micron gold. They belong to the general deposit group of Carlin-type deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Carlin-type gold deposits include: Slab rollback, arc migration, magmatic volatiles, extensional faults, reduced slope facies, meteoric water, CO2, H2S and hydrolytic metasomatism, jasperoids. ","Sediment-hosted disseminated gold, sediment-hosted micron gold",Magmatic hydrothermal,Carlin-type,"Slab rollback, arc migration, magmatic volatiles, extensional faults, reduced slope facies, meteoric water, CO2, H2S and hydrolytic metasomatism, jasperoids",Carlin-type gold
135,Distal- disseminated silver-gold,"Distal- disseminated silver-gold deposits are also known as Carlin-like, Carlin-style. They belong to the general deposit group of Distal-disseminated deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Distal- disseminated silver-gold deposits include: Occurs in more than one system type. ","Carlin-like, Carlin-style",Magmatic hydrothermal,Distal-disseminated,Occurs in more than one system type,Distal- disseminated silver-gold
136,Replacement polymetallic,Replacement polymetallic deposits belong to the general deposit group of Replacement deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Replacement polymetallic deposits include: Occurs in more than one system type. ,,Magmatic hydrothermal,Replacement,Occurs in more than one system type,Replacement polymetallic
137,Replacement gold-silver,Replacement gold-silver deposits are also known as Sulfide manto Au. They belong to the general deposit group of Replacement deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Replacement gold-silver deposits include: Occurs in more than one system type. ,Sulfide manto Au,Magmatic hydrothermal,Replacement,Occurs in more than one system type,Replacement gold-silver
138,Replacement tin,"Replacement tin deposits belong to the general deposit group of Replacement deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Replacement tin deposits include: Continental back arc or hinterland, S-type volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism. ",,Magmatic hydrothermal,Replacement,"Continental back arc or hinterland, S-type volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Replacement tin
139,Replacement copper,Replacement copper deposits belong to the general deposit group of Replacement deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Replacement copper deposits include: Occurs in more than one system type. ,,Magmatic hydrothermal,Replacement,Occurs in more than one system type,Replacement copper
140,Replacement zinc-lead,Replacement zinc-lead deposits belong to the general deposit group of Replacement deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Replacement zinc-lead deposits include: Occurs in more than one system type. ,,Magmatic hydrothermal,Replacement,Occurs in more than one system type,Replacement zinc-lead
141,Replacement manganese,Replacement manganese deposits belong to the general deposit group of Replacement deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Replacement manganese deposits include: Occurs in more than one system type. ,,Magmatic hydrothermal,Replacement,Occurs in more than one system type,Replacement manganese
142,Replacement magnesium,"Replacement magnesium deposits are also known as Crystalline magnesite. They belong to the general deposit group of Replacement deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Replacement magnesium deposits include: Arc, magnetite series, calc- alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism. ",Crystalline magnesite,Magmatic hydrothermal,Replacement,"Arc, magnetite series, calc- alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Replacement magnesium
143,Replacement fluorite,Replacement fluorite deposits belong to the general deposit group of Replacement deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Replacement fluorite deposits include: Occurs in more than one system type. ,,Magmatic hydrothermal,Replacement,Occurs in more than one system type,Replacement fluorite
144,Skarn iron,Skarn iron deposits belong to the general deposit group of Skarn deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Skarn iron deposits include: Occurs in more than one system type. ,,Magmatic hydrothermal,Skarn,Occurs in more than one system type,Skarn iron
145,Skarn copper,Skarn copper deposits belong to the general deposit group of Skarn deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Skarn copper deposits include: Occurs in more than one system type. ,,Magmatic hydrothermal,Skarn,Occurs in more than one system type,Skarn copper
146,Skarn tungsten ± Mo,Skarn tungsten ± Mo deposits belong to the general deposit group of Skarn deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Skarn tungsten ± Mo deposits include: Occurs in more than one system type. ,,Magmatic hydrothermal,Skarn,Occurs in more than one system type,Skarn tungsten ± Mo
147,Skarn tin ± copper ± Mo,"Skarn tin ± copper ± Mo deposits belong to the general deposit group of Skarn deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Skarn tin ± copper ± Mo deposits include: Continental back arc or hinterland, S-type volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism. ",,Magmatic hydrothermal,Skarn,"Continental back arc or hinterland, S-type volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Skarn tin ± copper ± Mo
148,Skarn gold ± copper ± tungsten,Skarn gold ± copper ± tungsten deposits are also known as Intrusion-related gold. They belong to the general deposit group of Skarn deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Skarn gold ± copper ± tungsten deposits include: Occurs in more than one system type. ,Intrusion-related gold,Magmatic hydrothermal,Skarn,Occurs in more than one system type,Skarn gold ± copper ± tungsten
149,"Skarn zinc-lead-
 silver","Skarn zinc-lead-
 silver deposits belong to the general deposit group of Skarn deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Skarn zinc-lead-
 silver deposits include: Occurs in more than one system type. ",,Magmatic hydrothermal,Skarn,Occurs in more than one system type,"Skarn zinc-lead-
 silver"
150,Skarn molybdenum,Skarn molybdenum deposits belong to the general deposit group of Skarn deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Skarn molybdenum deposits include: Occurs in more than one system type. ,,Magmatic hydrothermal,Skarn,Occurs in more than one system type,Skarn molybdenum
151,Skarn beryllium- fluorite,"Skarn beryllium- fluorite deposits belong to the general deposit group of Skarn deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Skarn beryllium- fluorite deposits include: Continental rift, hydrous bimodal magmatism, A-type volcano- plutonic center, magmatic fluid. ",,Magmatic hydrothermal,Skarn,"Continental rift, hydrous bimodal magmatism, A-type volcano- plutonic center, magmatic fluid",Skarn beryllium- fluorite
152,Skarn uranium- REE,Skarn uranium- REE deposits belong to the general deposit group of Skarn deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Skarn uranium- REE deposits include: Peralkaline volcano-plutonic center. ,,Magmatic hydrothermal,Skarn,Peralkaline volcano-plutonic center,Skarn uranium- REE
153,Porphyry copper ± gold,"Porphyry copper ± gold deposits are also known as Alkaline porphyry copper. They belong to the general deposit group of Porphyry deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Porphyry copper ± gold deposits include: Arc or rift, alkaline volcano- plutonic center, magmatic fluid, alkali and hydrolytic metasomatism. ",Alkaline porphyry copper,Magmatic hydrothermal,Porphyry,"Arc or rift, alkaline volcano- plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Porphyry copper ± gold
154,Porphyry copper- molybdenum,"Porphyry copper- molybdenum deposits are also known as Calc-alkaline porphyry copper. They belong to the general deposit group of Porphyry deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Porphyry copper- molybdenum deposits include: Arc, magnetite series, calc- alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism. ",Calc-alkaline porphyry copper,Magmatic hydrothermal,Porphyry,"Arc, magnetite series, calc- alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Porphyry copper- molybdenum
155,Porphyry gold ± copper,"Porphyry gold ± copper deposits are also known as Intrusion-related gold. They belong to the general deposit group of Porphyry deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Porphyry gold ± copper deposits include: Continental back arc or hinter- land, felsic magmatism of ilmenite to magnetite series, calc-alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism. ",Intrusion-related gold,Magmatic hydrothermal,Porphyry,"Continental back arc or hinter- land, felsic magmatism of ilmenite to magnetite series, calc-alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Porphyry gold ± copper
156,Climax-type porphyry molybdenum,"Climax-type porphyry molybdenum deposits are also known as Alkali-feldspar rhyolite- granite porphyry molybdenum; high- fluorine porphyry molybdenum. They belong to the general deposit group of Porphyry deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Climax-type porphyry molybdenum deposits include: Continental rift, hydrous bimodal magmatism, A-type volcano- plutonic center, magmatic fluid. ",Alkali-feldspar rhyolite- granite porphyry molybdenum; high- fluorine porphyry molybdenum,Magmatic hydrothermal,Porphyry,"Continental rift, hydrous bimodal magmatism, A-type volcano- plutonic center, magmatic fluid",Climax-type porphyry molybdenum
157,Low-fluorine porphyry molybdenum,"Low-fluorine porphyry molybdenum deposits are also known as Arc-related porphyry molybdenum; low- fluorine stockwork molybdenite. They belong to the general deposit group of Porphyry deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Low-fluorine porphyry molybdenum deposits include: Arc, magnetite series, calc- alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism. ",Arc-related porphyry molybdenum; low- fluorine stockwork molybdenite,Magmatic hydrothermal,Porphyry,"Arc, magnetite series, calc- alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Low-fluorine porphyry molybdenum
158,Porphyry tungsten,"Porphyry tungsten deposits belong to the general deposit group of Porphyry deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Porphyry tungsten deposits include: Continental arc, back arc, or hinterland, felsic magmatism of ilmenite series, calc-alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism. ",,Magmatic hydrothermal,Porphyry,"Continental arc, back arc, or hinterland, felsic magmatism of ilmenite series, calc-alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Porphyry tungsten
159,Porphyry tin,"Porphyry tin deposits belong to the general deposit group of Porphyry deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Porphyry tin deposits include: Continental back arc, or hinterland, felsic S-type volcano- plutonic center, magmatic fluid, alkali and hydrolytic metasomatism. ",,Magmatic hydrothermal,Porphyry,"Continental back arc, or hinterland, felsic S-type volcano- plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Porphyry tin
160,Greisen tin ±W-Mo,"Greisen tin ±W-Mo deposits belong to the general deposit group of Greisen deposits. The deposit environment is typically Magmatic- Magmatic hydrothermal. Genetically related features of typical Greisen tin ±W-Mo deposits include: Continental back arc or hinterland, felsic S-type volcano- plutonic center, magmatic fluid, alkali and hydrolytic metasomatism. ",,Magmatic- Magmatic hydrothermal,Greisen,"Continental back arc or hinterland, felsic S-type volcano- plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Greisen tin ±W-Mo
161,"Greisen tungsten- molybdenum
 ±Bi","Greisen tungsten- molybdenum
 ±Bi deposits belong to the general deposit group of Greisen deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Greisen tungsten- molybdenum
 ±Bi deposits include: Continental back arc or hinterland, felsic magmatism of ilmenite series, felsic calc-alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism. ",,Magmatic hydrothermal,Greisen,"Continental back arc or hinterland, felsic magmatism of ilmenite series, felsic calc-alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism","Greisen tungsten- molybdenum
 ±Bi"
162,"Greisen beryllium
 ±Li","Greisen beryllium
 ±Li deposits belong to the general deposit group of Greisen deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Greisen beryllium
 ±Li deposits include: Continental rift, hydrous bimodal magmatism, A-type volcano- plutonic center, magmatic fluid. ",,Magmatic hydrothermal,Greisen,"Continental rift, hydrous bimodal magmatism, A-type volcano- plutonic center, magmatic fluid","Greisen beryllium
 ±Li"
163,Reduced intrusion- related gold,"Reduced intrusion- related gold deposits are also known as Plutonic-related gold: intrusion- centered gold; sheeted vein gold; shear-related gold veins. They belong to the general deposit group of Intrusion-related deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Reduced intrusion- related gold deposits include: Continental back arc or hinterland, regional felsic magmatism of ilmenite series, calc-alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism. ",Plutonic-related gold: intrusion- centered gold; sheeted vein gold; shear-related gold veins,Magmatic hydrothermal,Intrusion-related,"Continental back arc or hinterland, regional felsic magmatism of ilmenite series, calc-alkaline volcano-plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Reduced intrusion- related gold
164,Oxidized intrusion- related gold,"Oxidized intrusion- related gold deposits are also known as Plutonic-related gold; disseminated gold; plutonic gold; intrusion-related gold veins. They belong to the general deposit group of Intrusion-related deposits. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Oxidized intrusion- related gold deposits include: Continental back arc or hinterland, regional felsic magmatism of ilmenite to magnetite series, calc-alkaline volcano- plutonic center, magmatic fluid, alkali and hydrolytic metasomatism. ",Plutonic-related gold; disseminated gold; plutonic gold; intrusion-related gold veins,Magmatic hydrothermal,Intrusion-related,"Continental back arc or hinterland, regional felsic magmatism of ilmenite to magnetite series, calc-alkaline volcano- plutonic center, magmatic fluid, alkali and hydrolytic metasomatism",Oxidized intrusion- related gold
165,Simple pegmatite,Simple pegmatite deposits belong to the general deposit group of Pegmatite deposits. The deposit environment is typically Magmatic. Genetically related features of typical Simple pegmatite deposits include: Anatexis or any felsic pluton. ,,Magmatic,Pegmatite,Anatexis or any felsic pluton,Simple pegmatite
166,LCT pegmatite,"LCT pegmatite deposits belong to the general deposit group of Pegmatite deposits. The deposit environment is typically Magmatic. Genetically related features of typical LCT pegmatite deposits include: Continental back arc or hinterland, S-type plutonic center. ",,Magmatic,Pegmatite,"Continental back arc or hinterland, S-type plutonic center",LCT pegmatite
167,NYF pegmatite,"NYF pegmatite deposits belong to the general deposit group of Pegmatite deposits. The deposit environment is typically Magmatic. Genetically related features of typical NYF pegmatite deposits include: Continental rift, hydrous bimodal magmatism, A-type plutonic center. ",,Magmatic,Pegmatite,"Continental rift, hydrous bimodal magmatism, A-type plutonic center",NYF pegmatite
168,Abyssal pegmatite REE,Abyssal pegmatite REE deposits belong to the general deposit group of Pegmatite deposits. The deposit environment is typically Magmatic. Genetically related features of typical Abyssal pegmatite REE deposits include: Anatexis associated with high grade metamorphism. ,,Magmatic,Pegmatite,Anatexis associated with high grade metamorphism,Abyssal pegmatite REE
169,Carbonatite REE,"Carbonatite REE deposits belong to the general deposit group of Carbonatite deposits. The deposit environment is typically Magmatic. Genetically related features of typical Carbonatite REE deposits include: SCLM partial melt, alkalic- peralkaline magmatic center, carbonatites. ",,Magmatic,Carbonatite,"SCLM partial melt, alkalic- peralkaline magmatic center, carbonatites",Carbonatite REE
170,Carbonatite niobium,"Carbonatite niobium deposits belong to the general deposit group of Carbonatite deposits. The deposit environment is typically Magmatic. Genetically related features of typical Carbonatite niobium deposits include: SCLM partial melt, alkalic- peralkaline magmatic center, carbonatites. ",,Magmatic,Carbonatite,"SCLM partial melt, alkalic- peralkaline magmatic center, carbonatites",Carbonatite niobium
171,Peralkaline igneous HFSE- REE,"Peralkaline igneous HFSE- REE deposits belong to the general deposit group of Peralkaline igneous deposits. The deposit environment is typically Magmatic. Genetically related features of typical Peralkaline igneous HFSE- REE deposits include: SCLM partial melt, alkalic- peralkaline magmatic center and related pegmatites. ",,Magmatic,Peralkaline igneous,"SCLM partial melt, alkalic- peralkaline magmatic center and related pegmatites",Peralkaline igneous HFSE- REE
172,Apatite- nepheline- titanite intrusion,"Apatite- nepheline- titanite intrusion deposits are also known as Alkaline massif, nepheline-syenite- foyaite complex. They belong to the general deposit group of Apatite-nepheline- titanite intrusion deposits. The deposit environment is typically Magmatic. Genetically related features of typical Apatite- nepheline- titanite intrusion deposits include: Zoned alkalic plutonic center. ","Alkaline massif, nepheline-syenite- foyaite complex",Magmatic,Apatite-nepheline- titanite intrusion,Zoned alkalic plutonic center,Apatite- nepheline- titanite intrusion
173,Apatite intrusion REE,Apatite intrusion REE deposits are also known as Apatite vein. They belong to the general deposit group of Apatite intrusion deposits. The deposit environment is typically Magmatic. Genetically related features of typical Apatite intrusion REE deposits include: Alkalic dike complex. ,Apatite vein,Magmatic,Apatite intrusion,Alkalic dike complex,Apatite intrusion REE
174,Kimberlite diamond,"Kimberlite diamond deposits belong to the general deposit group of Kimberlite deposits. The deposit environment is typically Magmatic. Genetically related features of typical Kimberlite diamond deposits include: SCLM partial melt, diatreme, kimberlite. ",,Magmatic,Kimberlite,"SCLM partial melt, diatreme, kimberlite",Kimberlite diamond
175,Komatiite nickel-copper-PGE,"Komatiite nickel-copper-PGE deposits are also known as Kambalda-type, raglan- type. They belong to the general deposit group of Komatiite deposits. The deposit environment is typically Magmatic. Genetically related features of typical Komatiite nickel-copper-PGE deposits include: Archean to early Proterozoic continental rift or plume, high degree mantle melts, greenstone belts, ultramafic-mafic volcanic center. ","Kambalda-type, raglan- type",Magmatic,Komatiite,"Archean to early Proterozoic continental rift or plume, high degree mantle melts, greenstone belts, ultramafic-mafic volcanic center",Komatiite nickel-copper-PGE
176,U-M layered intrusion chromium,"U-M layered intrusion chromium deposits belong to the general deposit group of Ultramafic and (or) mafic-layered intrusion deposits. The deposit environment is typically Magmatic. Genetically related features of typical U-M layered intrusion chromium deposits include: Continental rift or plume, high degree mantle melts, LIP, ultramafic-mafic layered intrusion. ",,Magmatic,Ultramafic and (or) mafic-layered intrusion,"Continental rift or plume, high degree mantle melts, LIP, ultramafic-mafic layered intrusion",U-M layered intrusion chromium
177,U-M layered intrusion nickel- copper-PGE,"U-M layered intrusion nickel- copper-PGE deposits are also known as Contact-type. They belong to the general deposit group of Ultramafic and (or) mafic-layered intrusion deposits. The deposit environment is typically Magmatic. Genetically related features of typical U-M layered intrusion nickel- copper-PGE deposits include: Continental rift or plume, high degree mantle melts, LIP, ultramafic-mafic layered intrusion. ",Contact-type,Magmatic,Ultramafic and (or) mafic-layered intrusion,"Continental rift or plume, high degree mantle melts, LIP, ultramafic-mafic layered intrusion",U-M layered intrusion nickel- copper-PGE
178,U-M layered intrusion PGE,"U-M layered intrusion PGE deposits are also known as Reef-type and (or) brecciated. They belong to the general deposit group of Ultramafic and (or) mafic-layered intrusion deposits. The deposit environment is typically Magmatic. Genetically related features of typical U-M layered intrusion PGE deposits include: Continental rift or plume, high degree mantle melts, LIP, ultramafic-mafic layered intrusion. ",Reef-type and (or) brecciated,Magmatic,Ultramafic and (or) mafic-layered intrusion,"Continental rift or plume, high degree mantle melts, LIP, ultramafic-mafic layered intrusion",U-M layered intrusion PGE
179,"U-M layered intrusion
 iron-titanium- vanadium","U-M layered intrusion
 iron-titanium- vanadium deposits belong to the general deposit group of Ultramafic and (or) mafic-layered intrusion deposits. The deposit environment is typically Magmatic. Genetically related features of typical U-M layered intrusion
 iron-titanium- vanadium deposits include: Continental rift or plume, high degree mantle melts, LIP, ultramafic-mafic layered intrusion. ",,Magmatic,Ultramafic and (or) mafic-layered intrusion,"Continental rift or plume, high degree mantle melts, LIP, ultramafic-mafic layered intrusion","U-M layered intrusion
 iron-titanium- vanadium"
180,U-M intrusion nickel-copper- PGE,"U-M intrusion nickel-copper- PGE deposits belong to the general deposit group of Ultramafic and (or) mafic intrusion deposits. The deposit environment is typically Magmatic. Genetically related features of typical U-M intrusion nickel-copper- PGE deposits include: Continental rift or plume, high degree mantle melts, LIP, ultramafic-mafic stock or pluton (maybe zoned). ",,Magmatic,Ultramafic and (or) mafic intrusion,"Continental rift or plume, high degree mantle melts, LIP, ultramafic-mafic stock or pluton (maybe zoned)",U-M intrusion nickel-copper- PGE
181,U-M conduit nickel-copper- PGE,"U-M conduit nickel-copper- PGE deposits are also known as Flood basalt Ni-Cu- PGE, ferropicrite Ni-Cu-PGE, picrite- tholeiite N-Cu-PGE. They belong to the general deposit group of Ultramafic and (or) mafic conduit deposits. The deposit environment is typically Magmatic. Genetically related features of typical U-M conduit nickel-copper- PGE deposits include: Continental rift or plume, high degree mantle melts, LIP, ultramafic-mafic sills, dikes, chonoliths. ","Flood basalt Ni-Cu- PGE, ferropicrite Ni-Cu-PGE, picrite- tholeiite N-Cu-PGE",Magmatic,Ultramafic and (or) mafic conduit,"Continental rift or plume, high degree mantle melts, LIP, ultramafic-mafic sills, dikes, chonoliths",U-M conduit nickel-copper- PGE
182,Ophiolite chro- mium,Ophiolite chro- mium deposits are also known as Podiform chromite. They belong to the general deposit group of Ophiolite deposits. The deposit environment is typically Magmatic. Genetically related features of typical Ophiolite chro- mium deposits include: Obducted oceanic or back arc crust. ,Podiform chromite,Magmatic,Ophiolite,Obducted oceanic or back arc crust,Ophiolite chro- mium
183,"Ophiolite nickel-
 copper-PGE","Ophiolite nickel-
 copper-PGE deposits are also known as Picrite-tholeiite Ni-Cu- PGE. They belong to the general deposit group of Ophiolite deposits. The deposit environment is typically Magmatic. Genetically related features of typical Ophiolite nickel-
 copper-PGE deposits include: Obducted oceanic or back arc crus.. ",Picrite-tholeiite Ni-Cu- PGE,Magmatic,Ophiolite,Obducted oceanic or back arc crus.,"Ophiolite nickel-
 copper-PGE"
