,Deposit type,Description,Deposit environment,Deposit group
82,MVT strontium,"MVT strontium deposits belong to the general deposit group of Mississippi Valley-type (MVT) deposits. The deposit environment is typically Basin hydrothermal. Genetically related features of typical MVT strontium deposits include: Contractional orogeny, foreland basin, forebulge faults, arid climate, evaporites, basin brine, alkali and magnesium metasomatism. Mississippi Valley-Type (MVT) strontium deposits embody a subset of hydrothermal mineral systems primarily embedded in sedimentary rock sequences within stable cratonic settings, with significant formation linked to the sequelae of orogenic foreland basin dynamics. These deposits are typically found associated with carbonate rocks, frequently dolostones and limestones, where strontium (Sr) replaces the calcium (Ca) within the carbonate minerals. This substitution mainly occurs in a basin environment influenced by evaporitic conditions, promoting the migration of metal-saturated brines. MVT deposits are distinct in their widespread occurrence away from magmatic activity, relying instead on the mobilization of metals from thick sequences of sedimentary rocks triggered by basin-wide fluids driven by tectonic compaction or distant orogenic events. A key feature includes the deposit€™s confinement to specific structural settings such as platform-margin faults and anticlines, which act as conduits and traps for mineral-bearing solutions. Unlike many other types of deposits, MVT deposits, including those bearing strontium, do not display a direct connection to volcanic activity, distinguishing them from deposits like skarns or VMS that necessitate proximate magmatic influences. The strontium typically precipitates out of solution when these brines encounter reactive host rocks or diluting meteoric waters, forming relatively high-grade ore bodies. These deposits are also characterized by minimal host rock alteration, with the ore localized by structural and stratigraphic controls rather than pervasive alteration zones. This, coupled with their geological setting, typically results in strontium deposits that exhibit a sporadic geographical distribution, with occurrences often stratigraphically constrained and extending over large lateral distances but thin in vertical accumulation.",Basin hydrothermal,Mississippi Valley-type (MVT)
83,Sandstone-hosted zinc-lead,"Sandstone-hosted zinc-lead deposits belong to the general deposit group of Mississippi Valley-type (MVT) deposits. The deposit environment is typically Basin hydrothermal. Genetically related features of typical Sandstone-hosted zinc-lead deposits include: Contractional orogeny, foreland basin, forebulge faults, arid climate, evaporites, basin brine, alkali and magnesium metasomatism. Sandstone-hosted zinc-lead deposits, a subset of the Mississippi Valley-type (MVT) deposits, are distinguished primarily by their occurrence in continental sedimentary rocks, particularly sandstones, within stable craton or foreland basin settings. These deposits are characterized by the presence of sphalerite and galena as primary ore minerals, often accompanied by secondary minerals such as barite and fluorite. The deposits generally exhibit modest grades but can have significant tonnages, making them economically viable. These ores typically form as disseminations or as open-space fillings in brecciated zones, highlighting their structural control; they are associated with faults and fractures that serve as pathways for mineralizing brines. These brines are believed to originate from the evaporation of seawater in arid climates, which leads to the formation of evaporites€”an integral part of the mineralizing system. The ore-forming process is often linked to the leaching of metals from the basin's sediments, driven by basinal brines mobilized during periods of tectonic stress, such as during the contractional phases of orogeny. Sandstone-hosted deposits are typically younger than the host rocks, indicating a post-sedimentary mineralization phase, which can range from Paleozoic to Mesozoic in age. Their formation in less deformed sedimentary basins differentiates them from other zinc-lead deposit types, such as those hosted in more deformed metamorphic or volcanic settings. This unique combination of host rock type, tectonic setting, and mineralizing fluids contributes to the distinct geological features of sandstone-hosted zinc-lead deposits, emphasizing their specificity within the broader category of MVT deposits.",Basin hydrothermal,Mississippi Valley-type (MVT)
84,Non-sulfide zinc-lead ± Mn,"Non-sulfide zinc-lead ± Mn deposits are also known as Oxide zinc. They belong to the general deposit group of Non-sulfide deposits. The deposit environment is typically Basin hydrothermal. Genetically related features of typical Non-sulfide zinc-lead ± Mn deposits include: More oxidized and (or) metamorphosed equivalents of features noted in the previous row. Non-sulfide zinc-lead ± Mn deposits, also recognized as Oxide zinc deposits, represent a notable category of mineral deposits distinguished by their unique genesis and physicochemical conditions compared to sulfide mineralizations. These deposits typically arise in basin hydrothermal environments where the primary sulfide minerals have undergone oxidation or supergene enrichment due to surface or near-surface environmental conditions, leading to the formation of non-sulfide zinc and lead minerals such as smithsonite, hemimorphite, hydrozincite, and cerussite. The mineralogy distinctly marks them from sulfide counterparts, often featuring manganese oxides like hydrohetaerolite as an accessory or significant component. Deposited in diverse geological settings, these deposits can be associated with carbonate rocks predominantly, with occurrences also in siliciclastic sequences. The geological structures like faults and fractures often control the ore localization, promoting fluid circulation and subsequent mineral deposition. Non-sulfide zinc-lead ± Mn deposits frequently exhibit considerable variation in grade and tonnage, with some notable large deposits providing significant economic yields. They commonly form in regions characterized by subtropical to tropical climatic conditions, which favor the oxidation and leaching processes necessary for the ores' genesis. Such deposits are pivotal for zinc and lead production, especially where environmental considerations promote mining operations with lesser sulfide-related acid drainage issues.",Basin hydrothermal,Non-sulfide
85,Vein five-element,"Vein five-element deposits are also known as Ag-Bi-Co-Ni arsenide. They belong to the general deposit group of Five-element deposits. The deposit environment is typically Basin hydrothermal. Genetically related features of typical Vein five-element deposits include: Crystalline basement, extensional faults, basin brine, natural gas, redox interface, hydrolytic ± CO2 metasomatism, arsenides, regional iron and alkalicalcic metasomatism. Vein five-element deposits, distinguished primarily by their unique assemblage of Ag-Bi-Co-Ni with arsenides, represent a specialized subtype within the broader category of five-element deposits, generally found in Basin hydrothermal environments. These deposits are characteristically associated with crystalline basements and are often influenced by processes like extensional faulting, which facilitates the migration of basin brines and gases such as natural gas into reactive zones. Here, interactions at redox interfaces, coupled with hydrolytic ± CO2 metasomatism, give rise to the distinctive mineral arsenides. The rock types in these settings often show regional iron and alkalicalcic metasomatism, contributing to a complex geological matrix that supports the formation of orebodies. These deposits are noted for their high grades of silver (Ag), bismuth (Bi), cobalt (Co), and nickel (Ni), though the economic viability can vary significantly based on the grade and tonnage. The mineralization typically occurs within veins that are temporally related to the host rock, with the age of mineralization providing crucial data for exploring genesis and exploration models. Ore controls in such environments are predominantly structural, where the presence of faults and the depth of emplacement play crucial roles. This dependency on specific tectonic settings and structural preparations makes Vein five-element deposits distinct from other mineral deposit types, which may form under more varied or less stringent geological conditions.",Basin hydrothermal,Five-element
86,Hypozonal orogenic gold,"Hypozonal orogenic gold deposits are also known as Mesothermal gold; low-sulfide gold-quartz-vein, shear zone gold. They belong to the general deposit group of Orogenic deposits. The deposit environment is typically Metamorphic hy-drothermal. Genetically related features of typical Hypozonal orogenic gold deposits include: Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, H2S metasomatism. Hypozonal orogenic gold deposits, characterized within the broader classification of orogenic gold deposits, are noteworthy for their formation deep within metamorphic belts typically associated with major continental collision zones. These deposits are distinguished by their occurrence in high-grade metamorphic rocks that have undergone significant deformation and metamorphism. The mineralization process involves predominantly quartz veins containing low sulfide and high gold content, facilitated by metamorphic fluids rich in CO2 and, often, H2S. These fluids precipitate gold as they interact with dilatant structures within shear zones, where the pressure and temperature conditions favor gold deposition. The tectonic settings of these deposits are generally linked with convergent margin orogens marked by extensive crustal thickening. The age of mineralization generally correlates with the peak or late stages of regional metamorphism, making these deposits contemporaneous with tectonothermal events from the Archean to the Phanerozoic. Ore bodies are typically lenticular or ribbon-like, controlled by the geometry of host structures such as fault zones or folds. Physiographically, these deposits are often found in rugged, previously glaciated terrains. A key distinguishing feature of hypozonal orogenic gold deposits is their depth of formation, typically below 10 kilometers, contrasting with shallower epizonal deposits. This depth relates to their high temperature and pressure formation environments, which differentiate them from other orogenic or epithermal gold deposits.",Metamorphic hydrothermal,Orogenic
87,Mesozonal orogenic gold,"Mesozonal orogenic gold deposits are also known as Mesothermal gold; low-sulfide gold-quartz-vein, shear zone gold. They belong to the general deposit group of Orogenic deposits. The deposit environment is typically Metamorphic hy-drothermal. Genetically related features of typical Mesozonal orogenic gold deposits include: Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, H2S metasomatism. Mesozonal orogenic gold deposits, often recognized as mesothermal gold deposits, are a fundamental type categorized under the broader orogenic mineral deposit group. Formed within metamorphic belts during continental collision and subduction scenarios, these deposits typically occurr at mid-crustal levels; depths ranging from 5 to 15 kilometers aid in distinguishing them from epizonal or hypozonal types. Characterized by gold-bearing quartz veins, the mineralization is typically hosted in moderately to highly deformed metamorphic rocks such as schists, phyllites, and greywackes. The ores are low in sulfides but may contain significant amounts of pyrite, arsenopyrite, and lesser quantities of base-metal sulfides. Commodity-wise, these deposits provide high-grade gold, often with minor associated silver, and are notable for their consistency and predictability of ore grades, generally yielding between 2 and 30 grams of gold per ton. The age of these deposits spans a wide range, often correlating with regional metamorphism from the Archean to the Tertiary. The genesis involves fluid derived from devolatilization of metamorphosing marine sediments during compression, with CO2 and H2S playing crucial roles in metal transport and deposition. Typical alteration halos include sericite, carbonates, and lesser albite, emphasizing wall-rock interaction. These deposits' localization is primarily controlled by structural features such as shear zones and faults which act as conduits for ore-forming fluids, offering a distinctive aspect compared to syngenetic or diagenetic deposit types. Notably, mesozonal deposits are significant for their deep-rooted tectonic origin, distinguishing them from surficial placer or volcanic-related deposits.Mesozonal orogenic gold type mineral deposits are also known as USGS deposit model number 36a. Mesozonal orogenic gold type mineral deposits are also known as Low-sulfide Au-quartz vein. ",Metamorphic hydrothermal,Orogenic
88,Epizonal orogenic gold,"Epizonal orogenic gold deposits are also known as Refractory orogenic gold, Carlin-style gold. They belong to the general deposit group of Orogenic deposits. The deposit environment is typically Metamorphic hydrothermal. Genetically related features of typical Epizonal orogenic gold deposits include: Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, H2S metasomatism. Epizonal orogenic gold deposits, distinct among the broader category of orogenic gold deposits, are marked by their occurrence in high-level, brittle-ductile regimes in metamorphic terrains, often associated with metamorphic fluids derived during de-compressional events in contractional orogenic settings. These gold deposits typically form in regions characterized by sedimentary and metamorphic rock types, such as limestones or carbonaceous shales. These carbonate-rich sequences are crucial as they often facilitate extensive decarbonation reactions, significantly contributing to the metallogenic process through CO‚‚ and H‚‚S metasomatism. Epizonal deposits are generally younger, Phanerozoic in age, contrasting with the generally older mesozonal counterparts and are localized in structures like thrust faults, fold hinges, and breccias that provide pathways for fluid flow and ore deposition. Notable for hosting native gold often associated with arsenopyrite, pyrite, and other sulfides, these deposits demonstrate alteration features predominantly characterized by sulfidation and decarbonation, alongside silicification, which impacts the ore€™s refractoriness. Grades and tonnages can vary widely, but these deposits often have high gold grades. Their tectonic environments are typically linked to active continental margins and collision zones where orogenic processes prevail. Uniquely, the combination of structural, lithological, and fluid evolution aspects distinguish them clearly from deposits like those typical of magmatic hydrothermal systems or volcanogenic massive sulfides.",Metamorphic hydrothermal,Orogenic
89,Epizonal orogenic antimony ± gold,"Epizonal orogenic antimony ± gold deposits belong to the general deposit group of Orogenic deposits. The deposit environment is typically Metamorphic hydrothermal. Genetically related features of typical Epizonal orogenic antimony ± gold deposits include: Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, ± H2S metasomatism. Epizonal orogenic antimony ± gold deposits are a distinctive subtype of orogenic mineral deposits, characterized mainly by their occurrence in shallow metamorphic environments associated with contractional orogenic settings. These deposits typically form in regions with extensive metamorphism, where metamorphic fluids are prevalent, leading to significant hydrolytic alteration characterized by CO2 and ± H2S metasomatism. The ore bodies are predominantly hosted in dilatant structures within metamorphic belts, which provide the necessary pathways for fluid migration and ore deposition. The rock types involved are generally varied due to the metamorphic context but often include schists, gneisses, and occasionally quartzites. The primary commodities of these deposits are antimony and gold, with antimony usually occurring in the form of stibnite, whereas gold may appear as native elements or tellurides. These deposits are notable for their relatively high grades but moderate tonnages, making them economically significant despite their typically smaller size compared to other orogenic gold deposits. Alteration features prominently include silicification and sulfidation, which are critical for creating the ore textures and mineral assemblages necessary for ore deposition. Tectonically, these deposits are linked to regions undergoing crustal shortening, which prompts the formation of the requisite structural traps and fluid flow conduits. The unique combination of shallow-depth metamorphic fluid activity and structural settings differentiates epizonal orogenic antimony ± gold deposits from deeper, mesozonal counterparts in the orogenic deposit spectrum.
",Metamorphic hydrothermal,Orogenic
90,Epizonal orogenic mercury,"Epizonal orogenic mercury deposits belong to the general deposit group of Orogenic deposits. The deposit environment is typically Metamorphic hydrothermal. Genetically related features of typical Epizonal orogenic mercury deposits include: Contractional orogen, metamor-phic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, ± H2S metasomatism. Epizonal orogenic mercury deposits are a distinct subset of orogenic mineral deposits, typically forming in metamorphic hydrothermal environments within contractional orogenic belts. Characterized by their geological setting, these deposits are often associated with high-grade metamorphic terrains where deformation and fluid flow are influenced by tectonic stress. The primary commodities in these deposits are mercury, often accompanied by traces of other elements like antimony. Key rock types involved are usually silica-rich, such as chert and various types of altered metavolcanic rocks, where mercury is found as cinnabar (HgS). The ore bodies can vary in size but are generally not extensive, forming narrow, high-grade veins or broader, disseminated zones. These deposits are delineated by distinct structural controls; fractures and fault zones play a critical role as conduits for the metasomatic fluids essential for ore formation. The alteration halo typically includes silicification and decarbonation, with a notable presence of CO2 and possibly H2S in the fluid phases. The epizonal classification refers to shallow crustal levels of emplacement compared to deeper mesozonal or hypozonal settings in other orogenic systems. This shallow setting often leads to interaction with meteoric waters, further influencing the mineralization process and the distinct geochemical signatures. The physiography generally involves mountainous or hilly terrain, reflective of the orogenic context, with mineralization ages often corresponding to regional metamorphism and orogeny phases. These features distinctively differentiate epizonal orogenic mercury deposits from other deposit types, particularly with their unique tectonic and fluid characteristics.",Metamorphic hydrothermal,Orogenic
91,Orogenic silver-lead-zinc-copper-antimony,"Orogenic silver-lead-zinc-copper-antimony deposits belong to the general deposit group of Orogenic deposits. The deposit environment is typically Metamorphic hydrothermal. Genetically related features of typical Orogenic silver-lead-zinc-copper-antimony deposits include: Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, ± H2S, ± alkali metasomatism. Orogenic silver-lead-zinc-copper-antimony deposits, classified under the broader umbrella of metamorphic hydrothermal deposits, form in tectonically active regions characterized by metamorphism and deformation. These deposits are typically found in contractional orogenic settings€”zones where the Earth's crust has been significantly compressed during mountain-building periods. The mineralization is hosted in metamorphic belts and often associated with dilatant structures that facilitate the migration of mineral-bearing hydrothermal fluids. These fluids, typically rich in CO2, possibly with H2S and alkali metals, promote complex chemical reactions leading to the deposition of metals. The orebodies formed in this process usually occur as veins, lenses, or disseminated zones within pre-existing rock structures, often requiring structural controls such as faults or fractures for their emplacement. Rock types hosting these deposits include varied metamorphic rocks, which exhibit hydrothermal alteration signals like sericitization or chloritization. These deposits are distinct for often having high grades but variable tonnages of silver, lead, zinc, copper, and antimony, with ore mineralogy typically dominated by sulfides. The age of mineralization correlates closely with the timing of regional metamorphism and tectonism, making these deposits valuable chronological markers of geologic evolution in orogenic belts, and distinct from magmatic or sedimentary-hosted deposits.",Metamorphic hydrothermal,Orogenic
92,Orogenic copper ± gold,"Orogenic copper ± gold deposits belong to the general deposit group of Orogenic deposits. The deposit environment is typically Metamorphic hydrothermal. Genetically related features of typical Orogenic copper ± gold deposits include: Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, hydrolytic, CO2, ± H2S, alkali metasomatism. Orogenic copper ± gold deposits represent a specialized class of mineral deposits formed in convergent tectonic settings, commonly associated with orogenic belts characterized by significant crustal deformation and metamorphism. These deposits typically manifest in metamorphic terranes where deep crustal fluids, enriched in metals like copper and gold, circulate through dilatant structures in the rock. The orebodies are often found in shear zones or along fault systems where fluid flow is focused due to increased rock permeability. Key rock types hosting these orebodies are metamorphosed volcanic and sedimentary rocks, frequently altered through processes such as alkali metasomatism, which introduces new mineral assemblages into the host rocks. Physiographically, these deposits often appear in rugged, mountainous regions reflecting the dynamic tectonic processes at play. Orogenic copper ± gold deposits typically present lower to moderate tonnage but can carry high grades of copper and gold. The age of mineralization is commonly Proterozoic to Cenozoic, tightly linked to the timing of regional metamorphism and tectonic activity. Distinguishing features of these deposits include their structural control and metamorphic host environments, which strongly contrast with deposits formed in more stable tectonic settings or those directly associated with magmatic activity, such as porphyry copper or epithermal deposits.",Metamorphic hydrothermal,Orogenic
93,Orogenic graphite,"Orogenic graphite deposits are also known as vein, lump graphite. They belong to the general deposit group of Orogenic deposits. The deposit environment is typically Metamorphic hydrothermal. Genetically related features of typical Orogenic graphite deposits include: Contractional orogen, metamorphic belts, dilatant structures, metamorphic fluid, carbon metasomatism. Orogenic graphite deposits, characterized as vein or lump graphite, are distinctive mineral deposits formed in metamorphic hydrothermal environments associated with orogenic (mountain-forming) events. These deposits are typically found in regions that have undergone intense metamorphism, which facilitates the mobilization and concentration of carbon, leading to the formation of graphite. The rock types hosting these deposits usually include metamorphosed sedimentary rocks such as marbles, gneisses, and schists. Orogenic graphite is noted for its high grade and larger flake size compared to flake graphite from other deposit types like sedimentary. The tectonic settings conducive to the formation of these deposits include convergent plate margins where regional metamorphism occurs alongside deformation processes. The structural controls in these settings often involve folded and faulted zones, where fluids rich in carbon precipitate graphite in fractures and veins. This process can be enhanced by the presence of dilatant structures that provide space for deposition. Orogenic graphite deposits are notable not only for their purity and crystallinity but also for their formation during specific geological epochs corresponding to major orogeny events, making their age specific to regional metamorphic timelines. This combination of high-grade, structurally controlled ore bodies set in metamorphic belts distinguishes orogenic graphite from other mineral deposits primarily by its genetic and environmental formation mechanisms and the distinct quality of the graphite produced.Orogenic graphite type mineral deposits are also known as USGS deposit model number 37g. Orogenic graphite type mineral deposits are also known as Disseminated graphite in metasedimentary rock. ",Metamorphic hydrothermal,Orogenic
94,Metamorphic graphite,"Metamorphic graphite deposits are also known as Flake graphite, amorphous graphite. They belong to the general deposit group of Metamorphic deposits. The deposit environment is typically Metamorphic. Genetically related features of typical Metamorphic graphite deposits include: Regional metamorphic belts. Metamorphic graphite deposits, a subtype of graphite mineral deposits, are principally formed in high-grade metamorphic environments and are directly associated with the carbon-rich metamorphism of sedimentary rocks such as limestones, schists, and gneisses. These deposits are distinguished by their occurrence chiefly in regional metamorphic belts where the graphite has recrystallized under intense heat and pressure, leading to the formation of flake or amorphous graphite. The flake graphite formed here is often higher in purity and exhibits favorable crystalline properties comparing to other graphite types, making it highly sought after for uses in advanced technological applications, including lithium-ion batteries and as a moderator in nuclear reactors. In terms of tectonic settings, these deposits frequently align along continental margins and orogenic belts, which facilitates the required metamorphic conditions. The grade and tonnage of metamorphic graphite deposits can vary widely; however, they generally present large tonnages with grades, at times, exceeding 10% Cg (graphite content). As the graphite forms from the transformation of carbon-bearing parent rock, no significant hydrothermal alteration typically accompanies these deposits, unlike in many ore-type deposits. The structural fabric and metamorphic grade of the host rocks play pivotal roles in both the quality and size of the graphite deposits, with higher-grade metamorphic conditions generally leading to the development of larger crystals and higher ore quality. This geological environment and formation mechanism distinctly set metamorphic graphite deposits apart from other types such as hydrothermal or sedimentary deposits.Metamorphic graphite type mineral deposits are also known as USGS deposit model number 37f. Metamorphic graphite type mineral deposits are also known as Disseminated flake graphite. ",Metamorphic,Metamorphic
95,Metamorphic kyanite,"Metamorphic kyanite deposits belong to the general deposit group of Metamorphic deposits. The deposit environment is typically Metamorphic. Genetically related features of typical Metamorphic kyanite deposits include: Regional metamorphic belts. Metamorphic kyanite deposits are typically found in high-grade regional metamorphic belts, where intense pressures and temperatures transform pelitic (clay-rich) rocks into schist and gneiss containing kyanite, a mineral indicative of high-pressure, moderate-temperature conditions. Such deposits are characterized by the presence of aluminum-rich minerals, predominantly kyanite, along with associated minerals like garnet, staurolite, and sillimanite. The ore bodies are usually stratiform, forming lenses or layers within metamorphosed sedimentary sequences. The genesis of these deposits is primarily linked to the prograde metamorphism of aluminous sediments under barrovian facies conditions. Kyanite deposits do not generally produce significant metal commodities but are crucial sources of refractory and ceramic materials owing to the high melting point and thermal stability of kyanite. These deposits are mostly exploited for industrial uses, where the quality (purity and crystal size) and quantity of kyanite dictate the economic feasibility. Structural controls such as folding and faulting play a significant role in the localization and concentration of kyanite. The age of mineralization is typically Proterozoic to Paleozoic, coinciding with major orogenic and mountain-building events. This tectonic setting and the specific metamorphic conditions distinguish kyanite deposits from other mineral deposit types, which might be formed under different thermal regimes or involve different parental rock types and mineralizing processes.Metamorphic kyanite type mineral deposits are also known as USGS deposit model number 37c. Metamorphic kyanite type mineral deposits are also known as Gneiss-hosted kyanite Au. ",Metamorphic,Metamorphic
96,Low Iron alkali-calcic,"Low Iron alkali-calcic deposits belong to the general deposit group of Alkali-calcic deposits. The deposit environment is typically Regional metasomatic. Genetically related features of typical Low Iron alkali-calcic deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies. Low Iron alkali-calcic deposits, a subset of the broader Alkali-calcic group, are distinguished principally by their metallogenic and geological settings, commonly forming in environments such as continental arcs or rift zones with associated mafic to felsic or alkalic magmatism. The ore genesis in these deposits is closely related to magmatic and basinal or lacustrine brines, which contribute to the characteristic mineralization processes. Notably, these deposits exhibit reduced iron content compared to other alkali-calcic systems. Key rock types involved include altered volcanic and sedimentary units that undergo extensive alkali-calcic metasomatism, leading to the formation of unique mineral assemblages. The ore types in these deposits are primarily composed of non-ferrous metals, with tin often being a significant commodity, reflecting a peculiarity that sets them apart from other mineral deposits that might focus more on base or precious metals. The structural controls are crucial, with dilatant faults playing a significant role in ore localization. These geological structures also facilitate the interaction between magmatic-derived fluids and meteoric waters, enhancing mineralization. Furthermore, these deposits are often associated with high amplitude magnetic, gravity, and magnetotelluric (MT) anomalies, aiding in their exploration. The alteration patterns include a comprehensive suite of alkali-calcic minerals which replace the original rock matrix, significantly modifying the host rocks' physical and chemical properties. This distinct combination of geological features, especially the low iron content and the significant presence of tin, helps in delineating Low Iron alkali-calcic deposits from other mineral deposit types, making them a unique target for mineral exploration and economic geology.
",Regional metasomatic,Alkali-calcic
97,Albitite-hosted uranium,"Albitite-hosted uranium deposits are also known as Albitite-type metasomatic U. They belong to the general deposit group of Alkali-calcic deposits. The deposit environment is typically Regional metasomatic. Genetically related features of typical Albitite-hosted uranium deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies. Albitite-hosted uranium deposits, characterized within the alkali-calcic deposit group, predominantly occur in regional metasomatic environments linked to continental arcs or rifts. These deposits are significantly associated with albitite rock, a sodium-rich alteration of plagioclase feldspar, which distinctly delineates them from other uranium deposits primarily hosted in sandstones or unconformities. Albitite-hosted deposits often develop in proximity to zones where mafic to felsic or alkalic magmatic activity intersects with sedimentary basins, providing a structural and chemical conduit for mineralizing fluids. The ore bodies in these deposits are generally formed through iron-alkali-calcic metasomatism, where uranium and other commodities like thorium may precipitate out of magmatic and basinal or lacustrine brines in structurally dilatant zones. Typically, these deposits exhibit high-grade uranium ore, although tonnage can vary significantly, making them less predictable in scale compared to other uranium deposit types. Key to their identification are abnormal geophysical signatures such as high amplitude magnetic, gravity, and magnetotelluric anomalies. The mineralization age tends to correlate with periods of tectonic reactivation within the host tectonic settings. The combination of a specific host rock type (albitite), distinctive geological and geochemical signatures, and a unique set of formation conditions sets albitite-hosted uranium deposits apart from other mineral deposit types.",Regional metasomatic,Alkali-calcic
98,Ferroan carbonate polymetallic,"Ferroan carbonate polymetallic deposits belong to the general deposit group of Metasomatic iron deposits. The deposit environment is typically Regional metasomatic. Genetically related features of typical Ferroan carbonate polymetallic deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies. Ferroan carbonate polymetallic deposits are distinguished by their complex geology and economic significance, particularly notable for hosting multiple metals. These deposits typically form in regional metasomatic environments associated with continental arcs or rift settings where mafic to felsic or alkalic magmatism acts as a fundamental driver. The ore formation is closely linked to iron alkali-calcic metasomatism under the influence of magmatic and basinal or lacustrine brines. The rock associations in these deposits often include varied lithologies such as carbonates, which are significantly modified by the metasomatic processes. Ore types in these deposits are generally comprised of a mix of sulfides, oxides, and carbonates, enriched with elements like tin, zinc, copper, and occasionally precious metals such as gold and silver. The alteration associated with these deposits is characterized by high degrees of metasomatism, often producing pervasive skarnification and related mineral assemblages. Structurally, the deposits are controlled by dilatant faults that provide pathways for mineralizing fluids. One of the distinctive geophysical signatures of these deposits includes anomalies in magnetic, gravity, and magnetotelluric (MT) data, reflecting the complex subsurface mineralogy and structure. The age of mineralization can span a wide range, often correlating with the timing of magmatic activity and tectonic events in the region. These features, coupled with significant grade and tonnage of mixed commodities, make Ferroan carbonate polymetallic deposits an important target for mineral exploration and economic extraction, differing markedly from more straightforward sedimentary or purely magmatic-hydrothermal mineral systems.",Regional metasomatic,Metasomatic iron
99,Iron sulfide polymetallic,"Iron sulfide polymetallic deposits are also known as ISCG. They belong to the general deposit group of Metasomatic iron deposits. The deposit environment is typically Regional metasomatic. Genetically related features of typical Iron sulfide polymetallic deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies. Iron sulfide polymetallic (ISPG) deposits, categorized under the broader group of metasomatic iron deposits, exhibit distinctive geological features that set them apart from other mineral deposit types. Predominantly found in regions characterized by continental arcs or rift settings, these deposits are closely associated with diverse magmatic activities ranging from mafic to felsic or alkalic compositions. The ore bodies primarily consist of iron sulfides enriched with various metals like copper, lead, zinc, and sometimes precious metals such as gold and silver. The physiography typically involves complex fault systems in sedimentary basins, which play a crucial role as conduits for the migration of magmatic and basinal or lacustrine brines that contribute to the mineralization process. This mineralization often occurs in the form of massive to disseminated ore styles within host rocks, which are subjected to intense iron-alkali-calcic metasomatism. Geophysically, these areas are marked by pronounced anomalies in magnetic, gravity, and magnetotelluric data, aiding in exploration. The tectonic setting along with the associated magmatic activity not only provides a source for the metals but also creates the necessary conditions for the ore-forming hydrothermal fluids to alter the host rocks, creating favorable conditions for ore deposition. This complex interplay of geological processes uniquely defines the formation and the rich metal assemblage of ISPG deposits, making them significant for mineral exploration and economic extraction.",Regional metasomatic,Metasomatic iron
100,Iron silicate polymetallic,"Iron silicate polymetallic deposits belong to the general deposit group of Metasomatic iron deposits. The deposit environment is typically Regional metasomatic. Genetically related features of typical Iron silicate polymetallic deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies. Iron silicate polymetallic deposits, a subtype of metasomatic iron deposits, are typically found within continental arcs or rift settings involving mafic to felsic or alkaline magmatism. These deposits occur in environments characterized by high-grade regional metasomatism linked to magmatic activities and are often associated with sedimentary basins and fault systems that provide pathways for metasomatic fluids. The orebodies in these deposits commonly exhibit a complex mix of iron-rich silicates, sulfides, and oxides, featuring metals such as copper, gold, silver, and zinc, along with significant polymetallic grades typical in such geological settings. Physiographically, these deposits may present as extensive, sometimes irregular, ore zones conforming to the prevailing structural and lithological framework, showing intense alteration patterns including alkali-calcic changes and silicification. Mineralization is generally confined to specific structural settings such as dilatant faults and fold hinges, which act as fluid conduits as well as sites for ore precipitation. The distinction of iron silicate polymetallic deposits revolves around the coupling of iron-rich silicate mineralogy with diverse metallic minerals, forming in geological environments dominated by specific tectonic activities that favor the formation of these rich, polymetallic systems. These deposits also show distinctive geophysical signatures with high amplitude anomalies in magnetic, gravity, and magnetotelluric data, aiding in exploration.",Regional metasomatic,Metasomatic iron
